,Product_Name,Product_Title,Product_Description,Product_Ingredients,energy_kcal_Quantity,energy_kcal_100_g_per_product,energy_kcal_uom,energy_kcal_adultDV,energy_kcal_childDV,energy_kJ_Quantity,energy_kJ_100_g_per_product,energy_kJ_uom,energy_kJ_adultDV,energy_kJ_childDV,protein_Quantity,protein_100_g_per_product,protein_uom,protein_adultDV,protein_childDV,carbohydrate_Quantity,carbohydrate_100_g_per_product,carbohydrate_uom,carbohydrate_adultDV,carbohydrate_childDV,sugars_Quantity,sugars_100_g_per_product,sugars_uom,sugars_adultDV,sugars_childDV,fat_Quantity,fat_100_g_per_product,fat_uom,fat_adultDV,fat_childDV,saturated_fat_Quantity,saturated_fat_100_g_per_product,saturated_fat_uom,saturated_fat_adultDV,saturated_fat_childDV,fibre_Quantity,fibre_100_g_per_product,fibre_uom,fibre_adultDV,fibre_childDV,salt_Quantity,salt_100_g_per_product,salt_uom,salt_adultDV,salt_childDV
0,Double Quarter Pounder with Cheese,Double Quarter Pounder with Cheese,"We’re taking this classic and doubling it. Two irresistible 100% beef patties, two slices of cheese, topped with fresh onions, pickles & lashings of sauce. Find out more here!","Quarter Beef Patty 100% Pure Beef.  No additives, fillers, binders, preservatives or flavour enhancers. Just pure forequarter and flank. A little salt and pepper is added to season after cooking., Quarter Pounder Bun Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Sugar, Allergen Ingredient:  SESAME Seeds, Rapeseed Oil, Salt, Yeast, Emulsifier (Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids), Allergen Ingredient:  WHEAT Gluten, Preservative (Calcium Propionate), De-activated Yeast, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient:  N.B. May contain traces of milk, barley and rye., Cheddar Cheese Slice (processed) Vegetarian Cheddar (51%) (Allergen Ingredient: MILK), Water, Vegetarian Cheese (9%) (Allergen Ingredient: MILK), Whey Powder (Allergen Ingredient: MILK), Butter (Allergen Ingredient: MILK), Emulsifying Salts (Trisodium Citrate, Citric Acid), Allergen Ingredient:  MILK Proteins, Natural Cheese Flavouring (Allergen Ingredient: MILK), Salt, Colours (Beta Carotene, Paprika Extract), Anti-Caking Agent (Sunflower Lecithin)., Tomato Ketchup 66% Tomato Puree (equivalent to 184g tomatoes per 100g ketchup), Glucose-Fructose Syrup, Spirit Vinegar, Salt, Spice Extracts., Dill Pickle Slices Gherkins, Water, Spirit Vinegar, Salt, Firming Agent (Calcium Chloride), Natural Flavouring, Preservative (Potassium Sorbate)., Onions 100% White Onions., Mustard EITHER: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Spice Extract.  OR: Water, Spirit Vinegar, Allergen Ingredient:  MUSTARD Seed (13%), Salt, Spices, Natural Cloves Flavour, Spice Extract..",750,265,kcal,38,{},3131,1106.3,kJ,38,{},51,18,g,102,{},38,13.4,g,15,{},10,3.5,g,12,{},43,15.2,g,62,{},20,7.1,g,102,{},2.5,0.9,g,,{},2.9,1,g,49,{}
1,Apple Pie,Apple Pie - Deliciously Sweet,"McDonald's Apple Pie. Crispy on the outside, deliciously hot and sweet on the inside.","Apple Pie Water, Apple (23%), Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Sugar, Modified Maize Starch, Palm Oil, Rapeseed Oil, Dextrose, Salt, Invert Sugar Syrup, Spices, Lemon Juice Concentrate, Flavouring, Acidity Regulator (Citric Acid).  Prepared in the restaurants using non-hydrogenated vegetable oil.  Potential Allergen Ingredient: N.B. May contain traces of milk and barley..",250,294.1,kcal,13,{},1043,1227.1,kJ,13,{},2.3,2.7,g,5,{},27,31.8,g,10,{},9.5,11.2,g,11,{},14,16.5,g,20,{},3.3,3.9,g,16,{},1.4,1.6,g,,{},0.34,0.4,g,6,{}
2,Millionaire's Donut,Millionaire’s Donut - Festive McCafé Range,"An indulgent iced caramel donut with gooey caramel filling, topped with biscuit pieces and a dark cocoa drizzle. Click here to find out more.","Millionaire's Donut Allergen Ingredient: WHEAT Flour, Caramel Flavour Filling (21%) (Chicory Root Fibre, Allergen Ingredient:  Sweetened Condensed Whole MILK, Water, Butter (Allergen Ingredient: MILK), Salt, Thickener (Pectins), Natural Flavour), Water, Caramel Flavour Coating (12%) (Vegetable Fats (Palm, Palm Kernel, Shea, Rapeseed), Sugar, Dried Glucose Syrup, Allergen Ingredient:  Skimmed MILK Powder, Butter (Allergen Ingredient: MILK), Fat Reduced Cocoa Powder, Emulsifier (Sunflower Lecithin), Salt, Colour (Paprika Extract), Natural Flavour), Vegetable Fats (Palm, Rapeseed), Biscuit Pieces (5%) (Allergen Ingredient: WHEAT Flour, Sugar, Palm Oil, Allergen Ingredient:  Skimmed MILK Powder, Glucose-Fructose Syrup, Salt, Raising Agent (Sodium Hydrogen Carbonate), Natural Flavour), Cocoa Drizzle (4%) (Vegetable Fats (Palm, Palm Kernel, Shea, Rapeseed), Dried Glucose Syrup, Fat Reduced Cocoa Powder (0.7%), Sugar, Whey Powder (from Allergen Ingredient:  MILK), Emulsifier (Sunflower Lecithin), Salt, Natural Vanilla Flavour, Acidity Regulator (Citric Acid)), Margarine (Vegetable Oils (Palm, Rapeseed), Water, Emulsifier (Mono- and Diglycerides of Fatty Acids), Salt, Acidity Regulator (Citric Acid), Natural Flavouring), Yeast, Allergen Ingredient:  Free Range Whole EGG Powder, Invert Sugar Syrup, Allergen Ingredient:  Skimmed MILK Powder, Sugar, Allergen Ingredient:  WHEAT Gluten, Salt, Potato Fibre, Emulsifiers (Mono- and Diglycerides of Fatty Acids, Mono- and Diacetyl Tartaric Acid Esters of Mono- and Diglycerides of Fatty Acids, Sodium Stearoyl-2-Lactylate), Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient: N.B. May contain traces of soya and oat..",250,342.5,kcal,13,{},1041,1426,kJ,13,{},4.7,6.4,g,9,{},26,35.6,g,10,{},8.6,11.8,g,10,{},12,16.4,g,17,{},6.1,8.4,g,31,{},1.2,1.6,g,,{},0.49,0.7,g,8,{}
3,Chicken Legend with BBQ Sauce,Chicken Legend® with BBQ Sauce,"McDonald's Chicken Legend® with BBQ Sauce. 100% chicken breast meat in a crispy coating, with lettuce and BBQ sauce, in a warm, toasted bakehouse roll.","Chicken Legend Patty EITHER: Chicken Breast Meat (59%), Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Oils (Sunflower, Rapeseed), Breadcrumbs (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Yeast, Salt), Water, Starch, Allergen Ingredient:  WHEAT Semolina, Allergen Ingredient:  WHEAT Gluten, Spices (contain Allergen Ingredient:  CELERY), Salt, Raising Agents (Diphosphates, Sodium Carbonates), Natural Flavourings, Parsley, Whey Protein Concentrate (from Allergen Ingredient:  MILK), Allergen Ingredient:  MUSTARD Flour, Yeast Extract, Acid (Citric Acid), Spice Extract, Potassium Chloride.  OR: Chicken Breast Meat (59%), Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Oils (Sunflower, Rapeseed), Water, Breadcrumbs (Allergen Ingredient:  WHEAT Flour, Salt, Yeast), Starch, Allergen Ingredient:  WHEAT Semolina, Allergen Ingredient:  WHEAT Gluten, Spices (contains Allergen Ingredient:  CELERY), Natural Flavouring, Salt, Yeast Extract, Raising Agent (Diphosphates, Sodium Carbonates), Parsley, Whey Protein Concentrate (Allergen Ingredient: from MILK), Acid (Citric Acid), Allergen Ingredient:  MUSTARD Flour, Potassium Chloride, Spice Extract.  Prepared in the restaurant using a non-hydrogenated vegetable oil., Brown Bakehouse Roll Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Allergen Ingredient:  RYE Flour, Allergen Ingredient:  Dried WHEAT Sourdough, Rapeseed Oil, Salt, Sugar, Dextrose, Yeast, Allergen Ingredient:  BARLEY, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient: N.B. May contain traces of sesame seeds* and milk.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Smoky BBQ Sauce Water, Glucose-Fructose Syrup, Sugar, Spirit Vinegar, Tomato Paste, Cane Molasses, Modified Maize Starch, Dried Glucose Syrup, Salt, Spices (contain Allergen Ingredient:  MUSTARD), Preservative (Potassium Sorbate), Smoke Flavourings., Lettuce 100% Lettuce..",484,227.4,kcal,24,{},2038,957.4,kJ,24,{},27,12.7,g,54,{},61,28.7,g,23,{},8.4,3.9,g,9,{},14,6.6,g,20,{},1.6,0.8,g,8,{},3.9,1.8,g,,{},1.6,0.8,g,27,{}
4,Chicken Legend with Hot & Spicy Mayo,Chicken Legend® with Hot & Spicy Mayo,"McDonald's Chicken Legend® with Hot & Spicy Mayo. 100% chicken breast in a crispy coating with lettuce and hot & spicy Mayo in a warm, toasted bakehouse roll.","Chicken Legend Patty EITHER: Chicken Breast Meat (59%), Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Oils (Sunflower, Rapeseed), Breadcrumbs (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Yeast, Salt), Water, Starch, Allergen Ingredient:  WHEAT Semolina, Allergen Ingredient:  WHEAT Gluten, Spices (contain Allergen Ingredient:  CELERY), Salt, Raising Agents (Diphosphates, Sodium Carbonates), Natural Flavourings, Parsley, Whey Protein Concentrate (from Allergen Ingredient:  MILK), Allergen Ingredient:  MUSTARD Flour, Yeast Extract, Acid (Citric Acid), Spice Extract, Potassium Chloride.  OR: Chicken Breast Meat (59%), Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Oils (Sunflower, Rapeseed), Water, Breadcrumbs (Allergen Ingredient:  WHEAT Flour, Salt, Yeast), Starch, Allergen Ingredient:  WHEAT Semolina, Allergen Ingredient:  WHEAT Gluten, Spices (contains Allergen Ingredient:  CELERY), Natural Flavouring, Salt, Yeast Extract, Raising Agent (Diphosphates, Sodium Carbonates), Parsley, Whey Protein Concentrate (Allergen Ingredient: from MILK), Acid (Citric Acid), Allergen Ingredient:  MUSTARD Flour, Potassium Chloride, Spice Extract.  Prepared in the restaurant using a non-hydrogenated vegetable oil., Brown Bakehouse Roll Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Allergen Ingredient:  RYE Flour, Allergen Ingredient:  Dried WHEAT Sourdough, Rapeseed Oil, Salt, Sugar, Dextrose, Yeast, Allergen Ingredient:  BARLEY, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient: N.B. May contain traces of sesame seeds* and milk.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Hot & Spicy Mayo Water, Rapeseed Oil (24.5%), Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk (3%), Sugar, Salt, Spices (contain Allergen Ingredient:  MUSTARD), Thickener (Xanthan Gum), Preservative (Potassium Sorbate), Birdseye Chilli, Acid (Lactic Acid), Colour (Paprika Extract)., Lettuce 100% Lettuce..",519,240.9,kcal,26,{},2177,1010.3,kJ,26,{},27,12.5,g,54,{},56,26,g,22,{},4.5,2.1,g,5,{},20,9.3,g,28,{},2.1,1,g,11,{},3.9,1.8,g,,{},1.8,0.8,g,29,{}
5,Chicken Legend with Cool Mayo,Chicken Legend® with Cool Mayo,"McDonald's Chicken Legend® with Cool Mayo. Crispy 100% chicken breast meat, with lettuce and Cool Mayo in a warm, toasted bakehouse roll.","Chicken Legend Patty EITHER: Chicken Breast Meat (59%), Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Oils (Sunflower, Rapeseed), Breadcrumbs (Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Yeast, Salt), Water, Starch, Allergen Ingredient:  WHEAT Semolina, Allergen Ingredient:  WHEAT Gluten, Spices (contain Allergen Ingredient:  CELERY), Salt, Raising Agents (Diphosphates, Sodium Carbonates), Natural Flavourings, Parsley, Whey Protein Concentrate (from Allergen Ingredient:  MILK), Allergen Ingredient:  MUSTARD Flour, Yeast Extract, Acid (Citric Acid), Spice Extract, Potassium Chloride.  OR: Chicken Breast Meat (59%), Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Vegetable Oils (Sunflower, Rapeseed), Water, Breadcrumbs (Allergen Ingredient:  WHEAT Flour, Salt, Yeast), Starch, Allergen Ingredient:  WHEAT Semolina, Allergen Ingredient:  WHEAT Gluten, Spices (contains Allergen Ingredient:  CELERY), Natural Flavouring, Salt, Yeast Extract, Raising Agent (Diphosphates, Sodium Carbonates), Parsley, Whey Protein Concentrate (Allergen Ingredient: from MILK), Acid (Citric Acid), Allergen Ingredient:  MUSTARD Flour, Potassium Chloride, Spice Extract.  Prepared in the restaurant using a non-hydrogenated vegetable oil., Brown Bakehouse Roll Allergen Ingredient: WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamine), Water, Allergen Ingredient:  RYE Flour, Allergen Ingredient:  Dried WHEAT Sourdough, Rapeseed Oil, Salt, Sugar, Dextrose, Yeast, Allergen Ingredient:  BARLEY, Antioxidant (Ascorbic Acid).  Potential Allergen Ingredient: N.B. May contain traces of sesame seeds* and milk.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Cool Mayo Water, Rapeseed Oil (23.5%), Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk (3%), Sugar, Salt, Allergen Ingredient:  MUSTARD Flour, Thickener (Xanthan Gum), Preservative (Potassium Sorbate), Lemon Juice Concentrate., Lettuce 100% Lettuce..",529,246.2,kcal,26,{},2220,1033.2,kJ,26,{},27,12.6,g,54,{},56,26.1,g,21,{},4.5,2.1,g,5,{},21,9.8,g,30,{},2.5,1.2,g,12,{},4.0,1.9,g,,{},1.8,0.8,g,30,{}
6,Carrot Bag,Carrot Bag - Sides,"One of your five-a-day, a great on-the-go snack. Swap them into the kids' Happy Meal.",Carrot Bag 100% Carrot..,34,42.5,kcal,2,{},141,176.3,kJ,2,{},0.5,0.6,g,1,{},6.2,7.8,g,2,{},5.8,7.3,g,6,{},0.2,0.3,g,0,{},0.1,0.1,g,0,{},2.4,3,g,,{},0.08,0.1,g,1,{}
7,Toffee Latte Regular,Toffee Latte - Festive McCafé Range,"A smooth latte, blended with a sweet toffee syrup and topped with cream. Your perfect Christmas shopping pick me up, click here to find out more.","Milk Allergen Ingredient:  100% Semi-Skimmed MILK., Coffee 100% Roasted Coffee Beans, Water.  Made using 100% Arabica coffee beans, grown on Rainforest Alliance Certified&#8482; farms.  Potential Allergen Ingredient: N.B. May contain traces of milk., Toffee Syrup Water, Sugar, Natural Flavourings, Preservative (Potassium Sorbate), Acidity Regulator (Citric Acid), Colour (Plain Caramel)., Spray Cream Cream (20% fat) (Allergen Ingredient: MILK), Sugar (5%), Dried Glucose Syrup (3%), Propellant (Nitrous Oxide), Emulsifiers (Mono- and Diglycerides of Fatty Acids, Lactic Acid Esters of Mono- and Diglycerides of Fatty Acids), Stabiliser (Carrageenan)., Toffee Drizzle Glucose Syrup, Allergen Ingredient:  Sweetened Condensed Whole MILK (Allergen Ingredient: Whole MILK, Sugar), Glucose-Fructose Syrup, Butter (Allergen Ingredient: MILK), Salt, Stabiliser (Sodium Citrates), Thickener (Pectin)..",183,63.7,kcal,9,{},772,268.9,kJ,9,{},7.7,2.7,g,15,{},25,8.7,g,10,{},23,8,g,25,{},6.0,2.1,g,9,{},3.9,1.4,g,20,{},0.0,0,g,,{},0.25,0.1,g,4,{}
8,The BBQ Chicken & Bacon One - Crispy,The BBQ Chicken & Bacon One - Crispy - Big Flavour Wraps,"Crispy chicken breast, plus bacon with smoky BBQ sauce, cool mayo, tomato and lettuce in a soft, toasted tortilla wrap. Wrap of the Day every Tuesday, Thursday and Saturday!","Chicken Select EITHER: Chicken Breast Meat (57%), Water, Allergen Ingredient:  WHEAT Flour, Vegetable Oils (Sunflower, Rapeseed), Starch, Yeast Extract, Modified Starch, Salt, Spices (contain Allergen Ingredient:  CELERY), Acidity Regulators (Sodium Carbonate, Trisodium Citrate), Allergen Ingredient:  WHEAT Gluten, Raising Agents (Disodium Diphosphate, Sodium Bicarbonates), Onion Powder, Garlic Powder, Spice Extract (contains Allergen Ingredient:  CELERY), Stabiliser (Carrageenan), Dextrose, Flavouring.  Potential Allergen Ingredient:  N.B. May contain traces of milk and mustard.  OR: Chicken Breast Meat (57%), Water, Allergen Ingredient:  WHEAT Flour, Vegetable Oils (Sunflower, Rapeseed), Modified Starch, Starches, Yeast Extract, Spices (contain Allergen Ingredient:  CELERY), Salt, Acidity Regulators (Sodium Carbonates, Sodium Citrate), Allergen Ingredient:  WHEAT Gluten, Raising Agents (Sodium Acid Pyrophosphate, Sodium Carbonate), Spice Extract (contains Allergen Ingredient:  CELERY), Dextrose, Stabiliser (Carrageenan), Flavouring Preparation, Colour (Paprika Extract), Garlic Powder, Onion Powder, Emulsifier (Polysorbate 80), Rosemary Extract.    Potential Allergen Ingredient:  N.B. All the above may contain traces of milk and mustard.  Prepared in the restaurants using non-hydrogenated vegetable oil., Large Tortilla Wrap EITHER: Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Humectant (Glycerol), Rapeseed Oil, Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Emulsifier (Mono- and Diglycerides of Fatty Acids), Stabiliser (Carboxy Methyl Cellulose), Yeast.  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.  OR: Allergen Ingredient:  WHEAT Flour, Water, Humectant (Glycerol), Rapeseed Oil, Emulsifier (Mono- and Diglycerides of Fatty Acids), Raising Agents (Diphosphates, Potassium Carbonates), Stabilisers (Sodium Carboxymethyl Cellulose, Cellulose Gum), Allergen Ingredient:  WHEAT Starch, Salt, Deactivated Yeast.  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Tomato Slice 100% Tomato., Smoky BBQ Sauce Water, Glucose-Fructose Syrup, Sugar, Spirit Vinegar, Tomato Paste, Cane Molasses, Modified Maize Starch, Dried Glucose Syrup, Salt, Spices (contain Allergen Ingredient:  MUSTARD), Preservative (Potassium Sorbate), Smoke Flavourings., Lettuce 100% Lettuce., Cool Mayo Water, Rapeseed Oil (23.5%), Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk (3%), Sugar, Salt, Allergen Ingredient:  MUSTARD Flour, Thickener (Xanthan Gum), Preservative (Potassium Sorbate), Lemon Juice Concentrate., Beechwood Smoked Bacon EITHER: Pork Belly, Salt, Smoke Flavouring, Sugar, Emulsifier (Sodium Triphosphate), Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite).  OR: Pork Belly, Salt, Smoke Water, Antioxidant (Sodium Ascorbate), Preservative (Sodium Nitrite)..",500,229.7,kcal,25,{},2098,963.7,kJ,25,{},24,11,g,49,{},52,23.9,g,20,{},7.0,3.2,g,8,{},21,9.6,g,30,{},3.3,1.5,g,16,{},3.1,1.4,g,,{},2.2,1,g,37,{}
9,The Sweet Chilli Chicken One - Crispy,The Sweet Chilli One - Crispy - Big Flavour Wraps,"Crispy chicken breast with a sweet chilli sauce, cool mayo, lettuce and cucumber in a soft, toasted tortilla wrap. Wrap of the Day every Monday, Wednesday, Friday and Sunday!","Chicken Select EITHER: Chicken Breast Meat (57%), Water, Allergen Ingredient:  WHEAT Flour, Vegetable Oils (Sunflower, Rapeseed), Starch, Yeast Extract, Modified Starch, Salt, Spices (contain Allergen Ingredient:  CELERY), Acidity Regulators (Sodium Carbonate, Trisodium Citrate), Allergen Ingredient:  WHEAT Gluten, Raising Agents (Disodium Diphosphate, Sodium Bicarbonates), Onion Powder, Garlic Powder, Spice Extract (contains Allergen Ingredient:  CELERY), Stabiliser (Carrageenan), Dextrose, Flavouring.  Potential Allergen Ingredient:  N.B. May contain traces of milk and mustard.  OR: Chicken Breast Meat (57%), Water, Allergen Ingredient:  WHEAT Flour, Vegetable Oils (Sunflower, Rapeseed), Modified Starch, Starches, Yeast Extract, Spices (contain Allergen Ingredient:  CELERY), Salt, Acidity Regulators (Sodium Carbonates, Sodium Citrate), Allergen Ingredient:  WHEAT Gluten, Raising Agents (Sodium Acid Pyrophosphate, Sodium Carbonate), Spice Extract (contains Allergen Ingredient:  CELERY), Dextrose, Stabiliser (Carrageenan), Flavouring Preparation, Colour (Paprika Extract), Garlic Powder, Onion Powder, Emulsifier (Polysorbate 80), Rosemary Extract.    Potential Allergen Ingredient:  N.B. All the above may contain traces of milk and mustard.  Prepared in the restaurants using non-hydrogenated vegetable oil., Large Tortilla Wrap EITHER: Allergen Ingredient:  WHEAT Flour (contains Calcium Carbonate, Iron, Niacin, Thiamin), Water, Humectant (Glycerol), Rapeseed Oil, Raising Agents (Disodium Diphosphate, Sodium Bicarbonate), Emulsifier (Mono- and Diglycerides of Fatty Acids), Stabiliser (Carboxy Methyl Cellulose), Yeast.  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.  OR: Allergen Ingredient:  WHEAT Flour, Water, Humectant (Glycerol), Rapeseed Oil, Emulsifier (Mono- and Diglycerides of Fatty Acids), Raising Agents (Diphosphates, Potassium Carbonates), Stabilisers (Sodium Carboxymethyl Cellulose, Cellulose Gum), Allergen Ingredient:  WHEAT Starch, Salt, Deactivated Yeast.  Potential Allergen Ingredient:  N.B. May contain traces of sesame seeds*, milk, barley and rye.    *Please note all our buns, rolls, bagels, tortilla wraps and flatbreads are toasted in the same toaster as buns topped with sesame seeds., Cucumber 100% Cucumber., Lettuce 100% Lettuce., Sweet Chilli Sauce Water, Sugar, Glucose-Fructose Syrup, Modified Maize Starch, Spirit Vinegar, Red Chillies (3.5%), Salt, Vegetable Oils (Rapeseed & Sunflower), Garlic, Dried Chillies, Dried Red Bell Peppers, Acid (Citric Acid), Preservative (Potassium Sorbate), Colour (Paprika Extract), Thickeners (Xanthan Gum & Guar Gum), White Wine Vinegar., Cool Mayo Water, Rapeseed Oil (23.5%), Spirit Vinegar, Modified Maize Starch, Allergen Ingredient:  Free Range EGG Yolk (3%), Sugar, Salt, Allergen Ingredient:  MUSTARD Flour, Thickener (Xanthan Gum), Preservative (Potassium Sorbate), Lemon Juice Concentrate..",474,224.1,kcal,24,{},1990,940.9,kJ,24,{},22,10.4,g,45,{},52,24.6,g,20,{},7.2,3.4,g,8,{},19,9,g,27,{},2.6,1.2,g,13,{},3.2,1.5,g,,{},2.0,0.9,g,33,{}
